id,Suburb,Type,Method,Real_Estate_Agent,Distance,Postcode,Number_of_Bedroom,Number_of_Bathroom,Number_of_Carpark,Latitude,Longitude,Median_rent_weekly
36,Abbotsford,h,S,Nelson,3.0,3067,3,1,1,-37.80124,144.99459,424
37,Abbotsford,h,S,Biggin,3.0,3067,3,2,2,-37.79686,144.99621,424
38,Abbotsford,h,S,Biggin,3.0,3067,3,1,1,-37.80864,144.99386,424
39,Airport West,t,PI,Nelson,13.5,3042,3,2,1,-37.718,144.878,410
40,Airport West,h,VB,Nelson,13.5,3042,3,2,1,-37.7203,144.8755,410
41,Airport West,h,SP,Nelson,13.5,3042,3,2,1,-37.7203,144.8755,410
42,Airport West,h,S,Nelson,13.5,3042,2,1,1,-37.7294,144.888,410
43,Airport West,t,S,Brad,13.5,3042,3,2,2,-37.7218,144.8837,410
44,Airport West,h,S,Maddison,13.5,3042,2,1,1,-37.7273,144.8744,410
45,Airport West,u,VB,Barry,13.5,3042,2,1,1,-37.7215,144.8864,410
46,Airport West,h,SP,Barry,13.5,3042,6,3,2,-37.7239,144.8735,410
47,Airport West,t,S,Barry,13.5,3042,2,1,1,-37.7216,144.871,410
48,Airport West,u,S,Barry,13.5,3042,2,1,1,-37.7298,144.8883,410
49,Airport West,u,S,Nelson,13.5,3042,2,1,1,-37.7234,144.8792,410
50,Airport West,h,PI,Rendina,13.5,3042,3,1,6,-37.7249,144.8728,410
51,Airport West,h,S,Nelson,13.5,3042,3,1,1,-37.7217,144.8783,410
52,Airport West,u,S,Nelson,13.5,3042,3,1,1,-37.7302,144.8855,410
53,Airport West,t,PI,Brad,13.5,3042,3,2,2,-37.727,144.887,410
54,Airport West,h,S,Barry,13.5,3042,3,1,2,-37.7186,144.876,410
55,Airport West,h,S,Barry,13.5,3042,2,1,1,-37.7187,144.8765,410
56,Airport West,h,S,Nelson,13.5,3042,3,2,5,-37.7173,144.8796,410
57,Airport West,h,S,Brad,13.5,3042,5,3,4,-37.7263,144.8679,410
58,Airport West,h,PI,Barry,13.5,3042,3,3,2,-37.7285,144.8694,410
59,Airport West,h,S,Rendina,13.5,3042,3,2,2,-37.7164,144.8792,410
60,Airport West,t,SP,Nelson,13.5,3042,2,2,1,-37.7231,144.8802,410
61,Airport West,t,SP,Barry,13.5,3042,3,2,1,-37.72,144.8776,410
62,Airport West,h,S,Barry,13.5,3042,3,1,1,-37.7226,144.8733,410
63,Airport West,h,S,Harcourts,13.5,3042,4,2,3,-37.7256,144.8739,410
64,Niddrie,t,S,Barry,11.2,3042,3,3,2,-37.742,144.8885,410
65,Niddrie,h,SP,Brad,11.2,3042,4,2,2,-37.7429,144.888,410
66,Niddrie,h,S,Brad,11.2,3042,3,2,1,-37.7473,144.8897,410
67,Niddrie,u,S,Brad,11.2,3042,2,1,1,-37.7467,144.8906,410
68,Niddrie,u,S,Barry,11.2,3042,2,2,1,-37.7465,144.8868,410
69,Niddrie,t,S,Frank,11.2,3042,3,2,1,-37.7335,144.8788,410
70,Niddrie,h,SP,Barry,11.2,3042,4,3,2,-37.7387,144.8827,410
71,Niddrie,t,PI,Nelson,11.2,3042,3,2,1,-37.7462,144.8873,410
72,Niddrie,h,S,Brad,11.2,3042,3,1,1,-37.7368,144.8856,410
73,Niddrie,h,S,Barry,11.2,3042,2,2,1,-37.7343,144.8783,410
74,Niddrie,h,S,Nelson,11.2,3042,3,2,1,-37.7449,144.8869,410
75,Niddrie,t,S,Barry,11.2,3042,3,2,2,-37.7445,144.8834,410
76,Niddrie,h,VB,Nelson,11.2,3042,4,2,2,-37.7391,144.8875,410
77,Niddrie,h,S,Nelson,11.2,3042,3,3,2,-37.7444,144.8847,410
78,Niddrie,h,S,Barry,11.2,3042,3,1,1,-37.736,144.8839,410
79,Niddrie,h,PI,McDonald,11.2,3042,4,3,3,-37.7386,144.8902,410
80,Niddrie,h,S,Brad,11.2,3042,3,1,1,-37.7449,144.8899,410
81,Keilor Park,h,S,Nelson,14.5,3042,3,1,1,-37.725,144.8586,410
82,Keilor Park,t,S,Nelson,14.5,3042,2,1,1,-37.7251,144.8621,410
83,Keilor Park,u,S,Barry,14.5,3042,3,1,1,-37.7243,144.8533,410
84,Keilor Park,h,SP,Brad,14.5,3042,3,1,1,-37.7259,144.8579,410
85,Keilor Park,t,S,Barry,14.5,3042,4,3,1,-37.7231,144.8602,410
86,Keilor Park,u,S,Nelson,14.5,3042,3,1,1,-37.7169,144.8582,410
87,Keilor Park,t,S,Barry,14.5,3042,4,2,1,-37.7263,144.8584,410
88,Keilor Park,h,S,Nelson,14.5,3042,3,1,1,-37.7212,144.8545,410
89,Keilor Park,h,S,Nelson,14.5,3042,3,2,2,-37.7212,144.8598,410
90,Niddrie,h,S,Barry,11.2,3042,3,2,1,-37.738,144.8865,410
91,Niddrie,u,VB,Barry,11.2,3042,2,1,1,-37.7343,144.8824,410
92,Niddrie,u,PI,Nelson,11.2,3042,1,1,1,-37.7355,144.8874,410
93,Niddrie,t,PI,Barry,11.2,3042,3,2,2,-37.7418,144.8833,410
94,Niddrie,u,SP,Nelson,11.2,3042,3,1,1,-37.736,144.8886,410
95,Airport West,h,S,Brad,13.5,3042,3,2,2,-37.7284,144.8874,410
96,Airport West,h,VB,Nelson,13.5,3042,3,1,1,-37.7191,144.8857,410
97,Airport West,u,VB,Barry,13.5,3042,2,1,1,-37.7216,144.8837,410
98,Keilor Park,h,S,Nelson,14.5,3042,3,2,2,-37.724,144.8514,410
99,Airport West,h,S,Nelson,10.4,3042,3,1,2,-37.71655,144.88155,410
100,Keilor Park,h,SA,Nelson,10.4,3042,3,1,2,-37.72544,144.85259,410
101,Niddrie,h,S,Barry,10.4,3042,4,2,2,-37.74103,144.88496,410
102,Airport West,t,S,Brad,10.4,3042,3,1,2,-37.72893,144.88859,410
103,Niddrie,h,S,Nelson,10.4,3042,3,1,4,-37.7415,144.88923,410
104,Airport West,h,S,Prime,10.4,3042,2,1,3,-37.71811,144.87693,410
105,Airport West,t,S,Barry,10.4,3042,3,2,1,-37.71917,144.87819,410
106,Airport West,u,S,Nelson,10.4,3042,3,1,2,-37.72752,144.88358,410
107,Keilor Park,h,S,Nelson,10.4,3042,3,1,1,-37.7219,144.85239,410
108,Niddrie,h,S,Barry,10.4,3042,3,2,1,-37.7431,144.88722,410
109,Niddrie,h,SP,Nelson,10.4,3042,4,1,2,-37.73834,144.88197,410
110,Niddrie,h,SP,Nelson,10.4,3042,4,2,2,-37.73435,144.8768,410
111,Niddrie,h,S,Brad,10.4,3042,4,2,1,-37.74266,144.88577,410
112,Airport West,t,S,RE,10.4,3042,3,2,1,-37.7325,144.88272,410
113,Keilor Park,h,S,Nelson,10.4,3042,3,2,2,-37.72224,144.85739,410
114,Keilor Park,h,SP,McDonald,10.4,3042,5,3,4,-37.72285,144.86073,410
115,Niddrie,h,PI,Barry,10.4,3042,2,1,1,-37.74016,144.88805,410
116,Airport West,h,S,Nelson,10.4,3042,3,2,1,-37.72812,144.88735,410
117,Niddrie,h,S,Nelson,10.4,3042,4,3,2,-37.74101,144.88478,410
118,Niddrie,h,S,Nelson,10.4,3042,3,1,4,-37.73554,144.88517,410
119,Niddrie,t,SP,Barry,10.4,3042,3,2,1,-37.74103,144.8851,410
120,Airport West,h,S,Brad,10.4,3042,3,1,2,-37.72739,144.88235,410
121,Niddrie,h,S,Frank,10.4,3042,2,1,2,-37.7361,144.88306,410
122,Niddrie,h,SP,Brad,10.4,3042,3,1,1,-37.73901,144.89154,410
123,Airport West,h,S,Raine,10.4,3042,3,1,5,-37.72285,144.87539,410
124,Niddrie,h,PI,Barry,10.4,3042,2,1,1,-37.74016,144.88805,410
125,Airport West,h,VB,Nelson,10.4,3042,3,2,1,-37.72741,144.87919,410
126,Airport West,h,PI,Barry,10.4,3042,3,2,2,-37.72367,144.87059,410
127,Airport West,h,S,Nelson,10.4,3042,3,1,2,-37.72459,144.87406,410
128,Airport West,h,S,Barry,10.4,3042,3,1,1,-37.72313,144.87527,410
129,Airport West,h,S,Nelson,10.4,3042,3,1,2,-37.71757,144.88228,410
130,Airport West,h,PI,Nelson,10.4,3042,4,2,1,-37.7204,144.87419,410
131,Airport West,h,VB,Barry,10.4,3042,6,3,2,-37.72394,144.87348,410
132,Airport West,h,S,Barry,10.4,3042,3,3,3,-37.72483,144.87087,410
133,Airport West,h,S,Barry,10.4,3042,3,1,2,-37.72904,144.88259,410
134,Airport West,h,VB,Barry,10.4,3042,4,2,1,-37.73344,144.88925,410
135,Niddrie,h,VB,Nelson,10.4,3042,4,3,4,-37.73644,144.87941,410
136,Airport West,h,S,Nelson,10.4,3042,3,2,2,-37.73026,144.88652,410
137,Airport West,h,S,Barry,10.4,3042,4,2,5,-37.72379,144.88391,410
138,Niddrie,h,S,Barry,10.4,3042,4,3,1,-37.74063,144.88977,410
139,Airport West,h,VB,Jellis,10.4,3042,5,2,3,-37.72282,144.88373,410
140,Airport West,h,S,Nelson,10.4,3042,3,2,1,-37.73174,144.88086,410
141,Airport West,t,S,Nelson,10.4,3042,3,2,2,-37.71968,144.87756,410
142,Niddrie,h,SP,Barry,10.4,3042,2,1,1,-37.74035,144.88715,410
143,Niddrie,h,S,Nelson,10.4,3042,4,3,2,-37.73779,144.88392,410
144,Niddrie,h,VB,Nelson,10.4,3042,4,3,2,-37.741,144.88474,410
145,Niddrie,h,PI,Barry,10.4,3042,3,1,5,-37.7347,144.88021,410
146,Niddrie,h,S,Nelson,10.4,3042,3,1,1,-37.73771,144.88654,410
147,Albert Park,h,S,hockingstuart,3.3,3206,2,1,0,-37.8459,144.9555,600
148,Albert Park,h,PI,Buxton,3.3,3206,3,2,0,-37.8481,144.9499,600
149,Albert Park,h,S,Greg,3.3,3206,3,2,0,-37.8452,144.9488,600
150,Albert Park,h,S,RT,3.3,3206,2,1,0,-37.8431,144.9565,600
151,Albert Park,h,S,Marshall,3.3,3206,4,2,1,-37.8447,144.9523,600
152,Albert Park,h,VB,Greg,3.3,3206,3,2,1,-37.8415,144.952,600
153,Albert Park,h,S,Greg,3.3,3206,2,1,1,-37.8422,144.9554,600
154,Albert Park,h,S,Marshall,3.3,3206,3,2,1,-37.8421,144.9571,600
155,Albert Park,h,S,Cayzer,3.3,3206,3,2,1,-37.8415,144.9585,600
156,Albert Park,h,S,Greg,3.3,3206,3,2,2,-37.8451,144.9511,600
157,Albert Park,h,S,Greg,3.3,3206,2,1,0,-37.8443,144.9481,600
158,Albert Park,h,S,Greg,3.3,3206,2,1,0,-37.8424,144.9562,600
159,Albert Park,h,VB,RT,3.3,3206,3,2,1,-37.847,144.9575,600
160,Albert Park,h,S,Greg,3.3,3206,3,2,0,-37.8473,144.9551,600
161,Albert Park,h,VB,Cayzer,3.3,3206,4,3,1,-37.8467,144.9475,600
162,Albert Park,h,SP,Marshall,3.3,3206,2,1,1,-37.8427,144.9546,600
163,Albert Park,h,PI,Marshall,3.3,3206,3,1,1,-37.8461,144.9528,600
164,Albert Park,u,S,Marshall,3.3,3206,1,1,0,-37.8421,144.9517,600
165,Albert Park,h,S,Marshall,3.3,3206,4,2,1,-37.8477,144.9558,600
166,Albert Park,h,S,Greg,3.3,3206,3,2,1,-37.8434,144.9495,600
167,Albert Park,h,S,Greg,3.3,3206,2,1,0,-37.8387,144.9519,600
168,Albert Park,h,PI,Marshall,3.3,3206,3,2,2,-37.8448,144.9453,600
169,Albert Park,h,S,Marshall,3.3,3206,1,1,0,-37.8411,144.9497,600
170,Middle Park,h,VB,Cayzer,4.1,3206,3,1,1,-37.8499,144.957,600
171,Middle Park,h,S,Cayzer,4.1,3206,3,1,2,-37.8516,144.9624,600
172,Middle Park,u,S,hockingstuart,4.1,3206,2,1,1,-37.8474,144.9625,600
173,Middle Park,u,SP,Greg,4.1,3206,2,1,1,-37.8556,144.9669,600
174,Middle Park,h,S,Marshall,4.1,3206,4,2,1,-37.8518,144.9663,600
175,Middle Park,h,S,Marshall,4.1,3206,2,1,0,-37.8551,144.968,600
176,Middle Park,h,S,Marshall,4.1,3206,2,1,0,-37.8498,144.9628,600
177,Middle Park,h,S,Greg,4.1,3206,3,2,2,-37.8536,144.9625,600
178,Middle Park,h,VB,Cayzer,4.1,3206,3,2,1,-37.847,144.9594,600
179,Middle Park,h,SP,Marshall,4.1,3206,2,1,0,-37.8513,144.9586,600
180,Middle Park,h,PI,Greg,4.1,3206,3,1,3,-37.8474,144.9582,600
181,Albert Park,h,VB,Greg,3.3,3206,3,1,1,-37.8473,144.9495,600
182,Albert Park,u,PI,Nelson,3.3,3206,1,1,1,-37.8487,144.9511,600
183,Albert Park,h,S,Marshall,3.3,3206,3,1,1,-37.8473,144.955,600
184,Albert Park,h,S,RT,3.3,3206,2,1,0,-37.8445,144.9489,600
185,Middle Park,h,S,hockingstuart,4.1,3206,2,1,0,-37.8527,144.9657,600
186,Middle Park,h,VB,Marshall,4.1,3206,3,2,1,-37.8496,144.963,600
187,Albert Park,h,VB,Greg,3.0,3206,3,2,1,-37.84152,144.95027,600
188,Middle Park,h,S,Cayzer,3.0,3206,3,1,0,-37.85356,144.96415,600
189,Middle Park,h,PI,Marshall,3.0,3206,6,4,2,-37.85231,144.96373,600
190,Albert Park,u,PI,Greg,3.0,3206,2,1,0,-37.84469,144.95578,600
191,Albert Park,h,S,Cayzer,3.0,3206,3,1,1,-37.84587,144.94828,600
192,Middle Park,h,VB,Greg,3.0,3206,3,2,0,-37.84962,144.95856,600
193,Middle Park,h,S,Marshall,3.0,3206,5,2,1,-37.84908,144.95753,600
194,Albert Park,h,S,Greg,3.0,3206,3,2,1,-37.84398,144.95044,600
195,Middle Park,h,S,Chisholm,3.0,3206,3,1,0,-37.84804,144.96066,600
196,Albert Park,h,S,Marshall,3.0,3206,2,1,0,-37.84588,144.95559,600
197,Albert Park,h,PI,Greg,3.0,3206,4,3,1,-37.84787,144.95333,600
198,Middle Park,h,S,Greg,3.0,3206,4,3,3,-37.85601,144.96596,600
199,Albert Park,h,PI,Marshall,3.0,3206,6,3,2,-37.8433,144.9457,600
200,Middle Park,h,S,Marshall,3.0,3206,2,1,0,-37.85508,144.968,600
201,Middle Park,h,VB,Marshall,3.0,3206,4,2,4,-37.85154,144.96518,600
202,Middle Park,h,S,Cayzer,3.0,3206,4,2,0,-37.85372,144.96579,600
203,Middle Park,h,S,Marshall,3.0,3206,6,4,4,-37.84535,144.96044,600
204,Middle Park,h,SA,Greg,3.0,3206,3,1,0,-37.84794,144.96117,600
205,Middle Park,h,S,Greg,3.0,3206,3,2,1,-37.84812,144.9624,600
206,Middle Park,h,S,Greg,3.0,3206,3,2,1,-37.85205,144.96481,600
207,Alphington,h,S,Brace,6.4,3078,3,2,4,-37.7707,145.0318,396
208,Alphington,h,S,Collins,6.4,3078,4,2,1,-37.7717,145.031,396
209,Alphington,h,S,Nelson,6.4,3078,5,4,4,-37.775,145.0268,396
210,Alphington,u,S,Miles,6.4,3078,2,1,1,-37.7791,145.0306,396
211,Alphington,t,S,Miles,6.4,3078,2,2,3,-37.7804,145.0308,396
212,Alphington,h,S,Nelson,6.4,3078,4,2,2,-37.7743,145.0316,396
213,Alphington,h,S,Nelson,6.4,3078,4,2,2,-37.7723,145.0319,396
214,Alphington,h,SP,hockingstuart,6.4,3078,3,1,1,-37.7802,145.0243,396
215,Alphington,u,VB,Nelson,6.4,3078,2,1,1,-37.7773,145.0314,396
216,Alphington,u,S,Love,6.4,3078,2,1,1,-37.7805,145.0262,396
217,Alphington,h,SP,McGrath,6.4,3078,4,2,2,-37.7844,145.0225,396
218,Alphington,h,S,Jellis,6.4,3078,4,2,3,-37.7719,145.0309,396
219,Fairfield,h,VB,Jellis,5.8,3078,3,2,0,-37.7723,145.0179,396
220,Fairfield,h,PI,McGrath,5.8,3078,3,1,2,-37.7828,145.0154,396
221,Fairfield,h,S,Jellis,5.8,3078,2,1,2,-37.7689,145.0177,396
222,Fairfield,h,PI,Nelson,5.8,3078,4,2,1,-37.7735,145.0192,396
223,Fairfield,u,PI,Nelson,5.8,3078,2,1,1,-37.7755,145.0178,396
224,Fairfield,u,S,Jellis,5.8,3078,2,1,1,-37.7845,145.0105,396
225,Fairfield,t,SP,Love,5.8,3078,3,1,1,-37.7665,145.0175,396
226,Fairfield,u,VB,Nelson,5.8,3078,2,1,1,-37.7719,145.0195,396
227,Fairfield,u,S,Nelson,5.8,3078,2,1,1,-37.7782,145.0162,396
228,Fairfield,h,S,Jellis,5.8,3078,4,2,2,-37.7749,145.0242,396
229,Fairfield,u,S,hockingstuart,5.8,3078,2,1,1,-37.7781,145.0157,396
230,Fairfield,h,VB,Nelson,5.8,3078,3,1,4,-37.7728,145.0214,396
231,Fairfield,h,VB,Nelson,5.8,3078,4,3,2,-37.7671,145.0176,396
232,Fairfield,t,S,McGrath,5.8,3078,2,1,1,-37.7697,145.0203,396
233,Fairfield,h,S,Collins,5.8,3078,3,1,2,-37.7696,145.0188,396
234,Fairfield,u,SP,Nelson,5.8,3078,2,1,1,-37.7845,145.0105,396
235,Fairfield,h,S,McGrath,5.8,3078,3,1,1,-37.7714,145.0173,396
236,Fairfield,u,VB,Jellis,5.8,3078,2,1,2,-37.7732,145.0193,396
237,Fairfield,u,SP,McGrath,5.8,3078,2,1,1,-37.7682,145.0209,396
238,Fairfield,h,S,McGrath,5.8,3078,3,1,1,-37.7737,145.018,396
239,Fairfield,u,S,Jellis,5.8,3078,2,1,1,-37.7847,145.0109,396
240,Fairfield,h,PI,Woodards,5.8,3078,3,1,2,-37.783,145.0165,396
241,Alphington,h,S,Kay,5.7,3078,4,2,3,-37.77227,145.0284,396
242,Alphington,h,VB,Nelson,5.7,3078,1,1,1,-37.78469,145.03239,396
243,Fairfield,h,SP,Jellis,5.7,3078,3,1,2,-37.77662,145.02288,396
244,Fairfield,h,S,Nelson,5.7,3078,3,2,1,-37.77788,145.01964,396
245,Alphington,h,S,Jellis,5.7,3078,3,1,1,-37.7753,145.0267,396
246,Fairfield,h,S,McGrath,5.7,3078,4,1,1,-37.77167,145.02015,396
247,Fairfield,h,SP,Love,5.7,3078,3,2,4,-37.77252,145.02546,396
248,Fairfield,h,S,Jellis,5.7,3078,4,2,2,-37.77044,145.02465,396
249,Alphington,h,VB,Miles,5.7,3078,3,1,2,-37.77112,145.02893,396
250,Alphington,h,S,Jellis,5.7,3078,4,1,2,-37.78236,145.03205,396
251,Fairfield,h,S,Jellis,5.7,3078,4,2,1,-37.77226,145.02019,396
252,Alphington,h,PI,Jellis,5.7,3078,4,2,1,-37.77984,145.02149,396
253,Fairfield,h,VB,Miles,5.7,3078,3,1,0,-37.77945,145.01553,396
254,Fairfield,h,SP,Jellis,5.7,3078,3,2,1,-37.78265,145.01498,396
255,Altona,h,VB,Greg,13.8,3018,3,2,1,-37.87,144.825,390
256,Altona,h,S,Greg,13.8,3018,5,3,3,-37.8721,144.8105,390
257,Altona,t,S,hockingstuart,13.8,3018,2,1,2,-37.8687,144.8197,390
258,Altona,h,S,Barlow,13.8,3018,3,1,2,-37.8693,144.8375,390
259,Altona,h,SP,Greg,13.8,3018,4,3,6,-37.8681,144.819,390
260,Altona,u,S,Barlow,13.8,3018,2,1,2,-37.8702,144.8143,390
261,Altona,h,VB,Greg,13.8,3018,3,1,1,-37.8616,144.8116,390
262,Altona,u,S,Barlow,13.8,3018,2,1,1,-37.8696,144.827,390
263,Altona,h,S,hockingstuart,13.8,3018,3,1,4,-37.8697,144.8249,390
264,Altona,u,S,Village,13.8,3018,2,1,1,-37.8686,144.8182,390
265,Altona,u,S,hockingstuart,13.8,3018,2,1,2,-37.871,144.8185,390
266,Altona,u,SP,Greg,13.8,3018,2,1,1,-37.8678,144.8384,390
267,Altona,h,S,hockingstuart,13.8,3018,4,1,2,-37.8658,144.8155,390
268,Altona,u,SP,Barlow,13.8,3018,3,2,1,-37.868,144.8286,390
269,Altona,u,S,Burnham,13.8,3018,2,1,1,-37.8655,144.8299,390
270,Altona,h,S,hockingstuart,13.8,3018,3,1,2,-37.8608,144.8124,390
271,Altona,u,PI,Biggin,13.8,3018,2,2,1,-37.8687,144.8268,390
272,Altona,h,SP,Greg,13.8,3018,3,2,2,-37.86,144.8245,390
273,Altona,u,S,Williams,13.8,3018,3,2,1,-37.8684,144.815,390
274,Altona,h,SP,hockingstuart,13.8,3018,2,2,1,-37.8653,144.8129,390
275,Altona,u,SP,Barlow,13.8,3018,3,2,1,-37.868,144.8285,390
276,Altona,h,SP,Compton,13.8,3018,2,1,1,-37.8646,144.8272,390
277,Seaholme,h,S,Greg,12.7,3018,5,3,6,-37.864,144.8437,390
278,Altona,h,SP,Greg,13.8,3018,5,3,4,-37.8712,144.8107,390
279,Seaholme,h,S,Sweeney,11.0,3018,3,2,6,-37.8642,144.84257,390
280,Altona,u,S,Sweeney,11.0,3018,3,2,1,-37.86066,144.82013,390
281,Altona,t,S,Williams,11.0,3018,3,2,2,-37.86837,144.81502,390
282,Altona,h,S,Barlow,11.0,3018,3,1,4,-37.86715,144.80612,390
283,Altona,h,S,Barlow,11.0,3018,3,1,1,-37.87256,144.8078,390
284,Altona,u,SP,Barlow,11.0,3018,3,2,1,-37.871,144.81153,390
285,Altona,h,SP,Barlow,11.0,3018,4,2,2,-37.86027,144.82073,390
286,Altona,t,S,hockingstuart,11.0,3018,3,2,2,-37.86472,144.82929,390
287,Altona,h,S,Greg,11.0,3018,3,2,3,-37.8614,144.81931,390
288,Altona,u,SP,hockingstuart,11.0,3018,2,1,1,-37.86933,144.81704,390
289,Altona,h,S,Greg,11.0,3018,3,1,2,-37.85993,144.8176,390
290,Altona,h,S,Williams,11.0,3018,3,2,2,-37.87106,144.80523,390
291,Altona North,h,S,FN,11.1,3025,5,3,6,-37.8388,144.8567,400
292,Altona North,h,S,Jas,11.1,3025,3,1,2,-37.8291,144.835,400
293,Altona North,t,S,hockingstuart,11.1,3025,2,1,1,-37.8351,144.8529,400
294,Altona North,h,S,FN,11.1,3025,3,1,2,-37.8284,144.8355,400
295,Altona North,h,VB,Greg,11.1,3025,3,2,1,-37.8379,144.8583,400
296,Altona North,h,S,Williams,11.1,3025,3,1,1,-37.838,144.8555,400
297,Altona North,h,PI,Village,11.1,3025,3,1,3,-37.8294,144.8378,400
298,Altona North,h,SP,Jas,11.1,3025,3,1,4,-37.8448,144.8529,400
299,Altona North,h,S,hockingstuart,11.1,3025,3,2,2,-37.8337,144.8554,400
300,Altona North,h,S,Greg,11.1,3025,3,1,2,-37.8258,144.8523,400
301,Altona North,h,SP,Raine&Horne,11.1,3025,4,2,4,-37.8391,144.8467,400
302,Altona North,h,SP,Hunter,11.1,3025,5,2,2,-37.8262,144.8443,400
303,Altona North,h,S,Jas,11.1,3025,3,1,1,-37.8277,144.8385,400
304,Altona North,h,S,hockingstuart,11.1,3025,3,2,1,-37.8382,144.8649,400
305,Altona North,h,S,hockingstuart,11.1,3025,3,2,3,-37.8318,144.8388,400
306,Altona North,h,SP,RT,11.1,3025,4,1,4,-37.8375,144.8541,400
307,Altona North,u,S,Jas,11.1,3025,2,1,1,-37.8332,144.8649,400
308,Altona North,h,SP,Hunter,11.1,3025,3,1,2,-37.8326,144.8594,400
309,Altona North,h,S,hockingstuart,11.1,3025,3,1,3,-37.8322,144.8399,400
310,Altona North,h,S,Greg,9.4,3025,3,1,2,-37.8265,144.84386,400
311,Altona North,h,S,hockingstuart,9.4,3025,3,1,4,-37.8399,144.86228,400
312,Altona North,u,SP,Barlow,9.4,3025,3,1,1,-37.83648,144.86296,400
313,Altona North,h,SP,RT,9.4,3025,3,2,2,-37.84107,144.84179,400
314,Altona North,h,S,Sweeney,9.4,3025,4,2,5,-37.84384,144.84637,400
315,Altona North,h,S,Sweeney,9.4,3025,2,1,1,-37.83658,144.86199,400
316,Altona North,h,PI,RT,9.4,3025,3,1,3,-37.83511,144.84905,400
317,Altona North,h,S,Jas,9.4,3025,3,1,4,-37.84484,144.85017,400
318,Altona North,h,SP,FN,9.4,3025,3,1,3,-37.8279,144.8379,400
319,Altona North,h,S,RT,9.4,3025,3,2,3,-37.83748,144.84446,400
320,Altona North,h,S,Sweeney,9.4,3025,3,1,5,-37.8308,144.83765,400
321,Altona North,h,SP,hockingstuart,9.4,3025,3,1,2,-37.8454,144.84711,400
322,Altona North,h,S,Greg,9.4,3025,3,1,3,-37.84061,144.84692,400
323,Altona North,h,S,Greg,9.4,3025,3,2,2,-37.83015,144.85064,400
